"Yıllara göre il nüfusları, 2023-2030",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Population of provinces by years, 2023-2030",,,,,,,,
Uşak,377001,378133.0,379561.0,380943.0,382233.0,383460.0,384624.0,385751.0
Van,1127612,1125376.0,1122636.0,1119602.0,1116234.0,1112506.0,1108477.0,1104161.0
Yozgat,420699,414190.0,410717.0,407271.0,403867.0,400459.0,397024.0,393559.0
Zonguldak,591492,587228.0,583523.0,579757.0,575917.0,571980.0,567931.0,563754.0
Aksaray,438504,440386.0,443122.0,445771.0,448330.0,450821.0,453246.0,455587.0
Bayburt,86047,83931.0,82593.0,81225.0,79846.0,78490.0,77177.0,75879.0
Karaman,263960,265292.0,266509.0,267654.0,268774.0,269897.0,271002.0,272125.0
Kırıkkale,285744,282570.0,281068.0,279488.0,277813.0,276055.0,274227.0,272335.0
Batman,647205,652225.0,658281.0,664074.0,669655.0,675109.0,680431.0,685590.0
Şırnak,570745,583108.0,592914.0,602631.0,612257.0,621842.0,631383.0,640848.0
Bartın,207238,207802.0,208790.0,209752.0,210700.0,211639.0,212570.0,213468.0
Ardahan,92819,91494.0,90273.0,89082.0,87913.0,86753.0,85583.0,84424.0
Iğdır,209738,209426.0,209488.0,209531.0,209510.0,209442.0,209355.0,209215.0
Yalova,304780,310093.0,316266.0,322510.0,328841.0,335279.0,341802.0,348426.0
Karabük,255242,254838.0,255149.0,255380.0,255577.0,255786.0,256046.0,256292.0
Kilis,155179,156006.0,157652.0,159228.0,160741.0,162250.0,163778.0,165287.0
Osmaniye,557666,559094.0,560036.0,560784.0,561384.0,561838.0,562188.0,562420.0
Düzce,409865,413843.0,418025.0,422230.0,426385.0,430456.0,434434.0,438347.0
"TÜİK, Nüfus Projeksiyonları, 2023-2100",,,,,,,,
"TurkStat, Population Projections, 2023-2100",,,,,,,,
Nüfus projeksiyonları ana senaryosuna ait sonuçlardır.,,,,,,,,
Results of the main scenario for population projections.,,,,,,,,
"Tablodaki rakamlar, yuvarlamadan dolayı toplamı vermeyebilir.",,,,,,,,
Figures in table may not add up to totals due to rounding.,,,,,,,,
"(1) Adrese Dayalı Nüfus Kayıt Sistemi, 2023 sonuçlarıdır.",,,,,,,,
"(1) Results of Address Based Population Registration System, 2023.",,,,,,,,
